unnamed: 0,model,colour,memory,ram,battery,rear_camera,front_camera,ai_lens,height,processor,prize,ram_num,memory_num,battery_num,rear_camera_num,front_camera_num,height_num
0,Infinix SMART 7,Night Black,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,7299,4.0,64.0,6000.0,13.0,5.0,16.76
1,Infinix SMART 7,Azure Blue,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,7299,4.0,64.0,6000.0,13.0,5.0,16.76
2,MOTOROLA G32,Mineral Gray,128,8,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,11999,8.0,128.0,5000.0,50.0,16.0,16.64
3,POCO C50,Royal Blue,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,5649,2.0,32.0,5000.0,8.0,5.0,16.56
4,Infinix HOT 30i,Marigold,128,8,5000,50MP,5MP,1,16.76,G37,8999,8.0,128.0,5000.0,50.0,5.0,16.76
5,Infinix HOT 30i,Glacier Blue,128,8,5000,50MP,5MP,1,16.76,G37,8999,8.0,128.0,5000.0,50.0,5.0,16.76
6,Infinix HOT 30i,Mirror Black,128,8,5000,50MP,5MP,1,16.76,G37,8999,8.0,128.0,5000.0,50.0,5.0,16.76
7,Infinix HOT 30i,Diamond White,128,8,5000,50MP,5MP,1,16.76,G37,8999,8.0,128.0,5000.0,50.0,5.0,16.76
8,Infinix HOT 30i,Diamond White,64,4,5000,50MP,5MP,1,16.76,G37,7999,4.0,64.0,5000.0,50.0,5.0,16.76
9,Infinix HOT 30i,Mirror Black,64,4,5000,50MP,5MP,1,16.76,G37,7999,4.0,64.0,5000.0,50.0,5.0,16.76
10,REDMI 10,Shadow Black,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,9499,4.0,64.0,6000.0,50.0,5.0,17.02
11,Infinix HOT 30i,Glacier Blue,64,4,5000,50MP,5MP,1,16.76,G37,7999,4.0,64.0,5000.0,50.0,5.0,16.76
12,Infinix SMART 7,Emerald Green,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,7299,4.0,64.0,6000.0,13.0,5.0,16.76
13,SAMSUNG Galaxy F13,Waterfall Blue,128,4,6000,50MP,8MP,0,16.76,Exynos 850,10699,4.0,128.0,6000.0,50.0,8.0,16.76
14,SAMSUNG Galaxy F04,Opal Green,64,4,5000,13MP,5MP,0,16.51,Mediatek Helio P35,7299,4.0,64.0,5000.0,13.0,5.0,16.51
15,POCO C51,Royal Blue,64,4,5000,8MP,5MP,0,16.56,Helio G36,6999,4.0,64.0,5000.0,8.0,5.0,16.56
16,Infinix HOT 30i,Marigold,64,4,5000,50MP,5MP,1,16.76,G37,7999,4.0,64.0,5000.0,50.0,5.0,16.76
17,POCO C51,Power Black,64,4,5000,8MP,5MP,0,16.56,Helio G36,6999,4.0,64.0,5000.0,8.0,5.0,16.56
18,POCO C50,Country Green,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,5649,2.0,32.0,5000.0,8.0,5.0,16.56
19,MOTOROLA e13,Cosmic Black,64,4,5000,13MP,5MP,0,16.51,Unisoc T606,7299,4.0,64.0,5000.0,13.0,5.0,16.51
20,vivo T2x 5G,Aurora Gold,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,15999,8.0,128.0,5000.0,50.0,8.0,16.71
21,vivo T2x 5G,Marine Blue,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,15999,8.0,128.0,5000.0,50.0,8.0,16.71
22,vivo T2x 5G,Glimmer Black,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,15999,8.0,128.0,5000.0,50.0,8.0,16.71
23,vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,13999,6.0,128.0,5000.0,50.0,8.0,16.71
24,vivo T2x 5G,Glimmer Black,128,4,5000,50MP,8MP,0,16.71,Dimensity 6020,12999,4.0,128.0,5000.0,50.0,8.0,16.71
25,vivo T2x 5G,Glimmer Black,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,13999,6.0,128.0,5000.0,50.0,8.0,16.71
26,vivo T2x 5G,Marine Blue,128,4,5000,50MP,8MP,0,16.71,Dimensity 6020,12999,4.0,128.0,5000.0,50.0,8.0,16.71
27,vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,13999,6.0,128.0,5000.0,50.0,8.0,16.71
28,Infinix Smart 7 HD,Green Apple,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,6199,2.0,64.0,5000.0,8.0,5.0,16.76
29,REDMI A1+,Black,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6599,3.0,32.0,5000.0,8.0,5.0,16.56
30,REDMI A1+,Light Blue,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6599,3.0,32.0,5000.0,8.0,5.0,16.56
31,POCO C55,Power Black,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,7749,4.0,64.0,5000.0,50.0,5.0,17.04
32,REDMI A1+,Light Green,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6599,3.0,32.0,5000.0,8.0,5.0,16.56
33,POCO C55,Cool Blue,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,7749,4.0,64.0,5000.0,50.0,5.0,17.04
34,POCO C55,Forest Green,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,7749,4.0,64.0,5000.0,50.0,5.0,17.04
35,POCO C55,Cool Blue,128,6,5000,50MP,5MP,0,17.04,Mediatek Helio G85,8999,6.0,128.0,5000.0,50.0,5.0,17.04
36,SAMSUNG Galaxy F13,Nightsky Green,64,4,6000,50MP,8MP,0,16.76,Exynos 850,9699,4.0,64.0,6000.0,50.0,8.0,16.76
37,SAMSUNG Galaxy F13,Nightsky Green,128,4,6000,50MP,8MP,0,16.76,Exynos 850,10699,4.0,128.0,6000.0,50.0,8.0,16.76
38,MOTOROLA g13,Matte Charcoal,128,4,5000,50MP,8MP,0,16.51,Helio G85,9999,4.0,128.0,5000.0,50.0,8.0,16.51
39,POCO M4 5G,Cool Blue,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,11999,4.0,64.0,5000.0,50.0,8.0,16.71
40,MOTOROLA e32,Eco Black,64,4,5000,50MP,8MP,0,16.51,Mediatek Helio G37,7999,4.0,64.0,5000.0,50.0,8.0,16.51
41,REDMI 10,Caribbean Green,128,6,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,10999,6.0,128.0,6000.0,50.0,5.0,17.02
42,SAMSUNG Galaxy F04,Jade Purple,64,4,5000,13MP,5MP,0,16.51,Mediatek Helio P35,7299,4.0,64.0,5000.0,13.0,5.0,16.51
43,MOTOROLA G32,Satin Silver,128,8,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,11999,8.0,128.0,5000.0,50.0,16.0,16.64
44,REDMI 10,Sunrise Orange,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,9499,4.0,64.0,6000.0,50.0,5.0,17.02
45,SAMSUNG Galaxy F13,Sunrise Copper,128,4,6000,50MP,8MP,0,16.76,Exynos 850,10699,4.0,128.0,6000.0,50.0,8.0,16.76
46,MOTOROLA e32,Arctic Blue,64,4,5000,50MP,8MP,0,16.51,Mediatek Helio G37,7999,4.0,64.0,5000.0,50.0,8.0,16.51
47,MOTOROLA g13,Lavender Blue,128,4,5000,50MP,8MP,0,16.51,Helio G85,9999,4.0,128.0,5000.0,50.0,8.0,16.51
48,MOTOROLA e32,Arctic Blue,64,4,5000,50MP,8MP,0,16.51,Mediatek Helio G37,7999,4.0,64.0,5000.0,50.0,8.0,16.51
49,POCO C55,Power Black,128,6,5000,50MP,5MP,0,17.04,Mediatek Helio G85,8999,6.0,128.0,5000.0,50.0,5.0,17.04
50,vivo T2 5G,Velocity Wave,128,8,4500,40MP,16MP,0,16.21,Snapdragon 695,20999,8.0,128.0,4500.0,40.0,16.0,16.21
51,vivo T2 5G,Nitro Blaze,128,8,4500,40MP,16MP,0,16.21,Snapdragon 695,20999,8.0,128.0,4500.0,40.0,16.0,16.21
52,MOTOROLA G62 5G,Frosted Blue,128,6,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 695 5G,15499,6.0,128.0,5000.0,50.0,16.0,16.64
53,POCO C50,Royal Blue,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6999,2.0,32.0,5000.0,8.0,5.0,16.56
54,vivo T2 5G,Nitro Blaze,128,6,4500,32MP,16MP,0,16.21,Snapdragon 695,18999,6.0,128.0,4500.0,32.0,16.0,16.21
55,vivo T2 5G,Velocity Wave,128,6,4500,32MP,16MP,0,16.21,Snapdragon 695,18999,6.0,128.0,4500.0,32.0,16.0,16.21
56,POCO M5,Yellow,64,4,5000,50MP,8MP,0,16.71,Mediatek Helio G99,12499,4.0,64.0,5000.0,50.0,8.0,16.71
57,MOTOROLA G62 5G,Midnight Gray,128,6,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 695 5G,15499,6.0,128.0,5000.0,50.0,16.0,16.64
58,POCO M4 5G,Power Black,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,11999,4.0,64.0,5000.0,50.0,8.0,16.71
59,SAMSUNG Galaxy F13,Waterfall Blue,64,4,6000,50MP,8MP,0,16.76,Exynos 850,9699,4.0,64.0,6000.0,50.0,8.0,16.76
60,SAMSUNG Galaxy F13,Sunrise Copper,64,4,6000,50MP,8MP,0,16.76,Exynos 850,9699,4.0,64.0,6000.0,50.0,8.0,16.76
61,POCO M5,Power Black,64,4,5000,50MP,8MP,0,16.71,Mediatek Helio G99,12499,4.0,64.0,5000.0,50.0,8.0,16.71
62,MOTOROLA e13,Creamy White,64,4,5000,13MP,5MP,0,16.51,Unisoc T606,7299,4.0,64.0,5000.0,13.0,5.0,16.51
63,realme C33 2023,Sandy Gold,128,4,5000,50MP,5MP,0,16.51,Unisoc T612,10499,4.0,128.0,5000.0,50.0,5.0,16.51
64,realme C33 2023,Aqua Blue,128,4,5000,50MP,5MP,0,16.51,Unisoc T612,10499,4.0,128.0,5000.0,50.0,5.0,16.51
65,SAMSUNG Galaxy F14 5G,GOAT Green,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",14490,6.0,128.0,6000.0,50.0,13.0,16.76
66,MOTOROLA g73 5G,Midnight Blue,128,8,5000,50MP,16MP,0,16.51,Mediatek Dimensity 930,16999,8.0,128.0,5000.0,50.0,16.0,16.51
67,realme C33 2023,Night Sea,128,4,5000,50MP,5MP,0,16.51,Unisoc T612,10499,4.0,128.0,5000.0,50.0,5.0,16.51
68,realme C30,Bamboo Green,32,3,5000,8MP,5MP,0,16.51,Unisoc T612,6499,3.0,32.0,5000.0,8.0,5.0,16.51
69,realme C30,Lake Blue,32,3,5000,8MP,5MP,0,16.51,Unisoc T612,6499,3.0,32.0,5000.0,8.0,5.0,16.51
70,realme C30,Denim Black,32,2,5000,8MP,5MP,0,16.51,Unisoc T612,5999,2.0,32.0,5000.0,8.0,5.0,16.51
71,realme C30,Denim Black,32,3,5000,8MP,5MP,0,16.51,Unisoc T612,6499,3.0,32.0,5000.0,8.0,5.0,16.51
72,POCO X5 5G,Wildcat Blue,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,15999,6.0,128.0,5000.0,48.0,13.0,16.94
73,REDMI A1+,Light Blue,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6299,2.0,32.0,5000.0,8.0,5.0,16.56
74,POCO M4 Pro,Yellow,128,8,5000,64MP,16MP,0,16.33,Mediatek Helio G96,13999,8.0,128.0,5000.0,64.0,16.0,16.33
75,MOTOROLA G62 5G,Midnight Gray,128,8,5000,50MP,16MP,0,41.94,Qualcomm Snapdragon 695 5G,16499,8.0,128.0,5000.0,50.0,16.0,41.94
76,POCO C50,Royal Blue,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6299,3.0,32.0,5000.0,8.0,5.0,16.56
77,POCO M5,Icy Blue,128,6,5000,50MP,8MP,0,16.71,Mediatek Helio G99,14499,6.0,128.0,5000.0,50.0,8.0,16.71
78,REDMI 11 Prime,Flashy Black,64,4,5000,50MP,8MP,0,16.71,Helio G99,9999,4.0,64.0,5000.0,50.0,8.0,16.71
79,realme C55,Sunshower,128,8,5000,64MP,8MP,0,17.07,Helio G88,13999,8.0,128.0,5000.0,64.0,8.0,17.07
80,realme C55,Rainy Night,128,8,5000,64MP,8MP,0,17.07,Helio G88,13999,8.0,128.0,5000.0,64.0,8.0,17.07
81,realme C55,Sunshower,64,6,5000,64MP,8MP,0,17.07,Helio G88,11999,6.0,64.0,5000.0,64.0,8.0,17.07
82,realme C55,Rainforest,128,8,5000,64MP,8MP,0,17.07,Helio G88,13999,8.0,128.0,5000.0,64.0,8.0,17.07
83,realme C55,Rainy Night,64,6,5000,64MP,8MP,0,17.07,Helio G88,11999,6.0,64.0,5000.0,64.0,8.0,17.07
84,realme C55,Rainforest,64,6,5000,64MP,8MP,0,17.07,Helio G88,11999,6.0,64.0,5000.0,64.0,8.0,17.07
85,realme C55,Sunshower,64,4,5000,64MP,8MP,0,17.07,Helio G88,10999,4.0,64.0,5000.0,64.0,8.0,17.07
86,realme C55,Rainforest,64,4,5000,64MP,8MP,0,17.07,Helio G88,10999,4.0,64.0,5000.0,64.0,8.0,17.07
87,realme C55,Rainy Night,64,4,5000,64MP,8MP,0,17.07,Helio G88,10999,4.0,64.0,5000.0,64.0,8.0,17.07
88,MOTOROLA G62 5G,Frosted Blue,128,8,5000,50MP,16MP,0,41.94,Qualcomm Snapdragon 695 5G,16499,8.0,128.0,5000.0,50.0,16.0,41.94
89,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",14490,6.0,128.0,6000.0,50.0,13.0,16.76
90,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",13490,4.0,128.0,6000.0,50.0,13.0,16.76
91,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",13490,4.0,128.0,6000.0,50.0,13.0,16.76
92,REDMI 10,Caribbean Green,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,9499,4.0,64.0,6000.0,50.0,5.0,17.02
93,REDMI 11 Prime,Peppy Purple,64,4,5000,50MP,8MP,0,16.71,Helio G99,9999,4.0,64.0,5000.0,50.0,8.0,16.71
94,MOTOROLA g73 5G,Lucent White,128,8,5000,50MP,16MP,0,16.51,Mediatek Dimensity 930,16999,8.0,128.0,5000.0,50.0,16.0,16.51
95,POCO M5,Icy Blue,64,4,5000,50MP,8MP,0,16.71,Mediatek Helio G99,12499,4.0,64.0,5000.0,50.0,8.0,16.71
96,realme 10 Pro 5G,Dark Matter,128,8,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,19999,8.0,128.0,5000.0,108.0,16.0,17.07
97,realme 10 Pro 5G,Nebula Blue,128,6,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,18999,6.0,128.0,5000.0,108.0,16.0,17.07
98,Micromax IN 2C,Nebula Blue,128,6,800,0MP,0MP,0,4.5,SC6531E,1449,6.0,128.0,800.0,0.0,0.0,4.5
99,POCO M5,Power Black,128,6,5000,50MP,8MP,0,16.71,Mediatek Helio G99,14499,6.0,128.0,5000.0,50.0,8.0,16.71
100,POCO M5,Yellow,128,6,5000,50MP,8MP,0,16.71,Mediatek Helio G99,14499,6.0,128.0,5000.0,50.0,8.0,16.71
101,POCO M4 Pro 5G,Yellow,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,15999,8.0,128.0,5000.0,50.0,16.0,16.76
102,realme 10 Pro 5G,Hyperspace,128,8,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,19999,8.0,128.0,5000.0,108.0,16.0,17.07
103,realme 10 Pro 5G,Dark Matter,128,6,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,18999,6.0,128.0,5000.0,108.0,16.0,17.07
104,realme 10 Pro 5G,Nebula Blue,128,8,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,19999,8.0,128.0,5000.0,108.0,16.0,17.07
105,realme 10 Pro 5G,Hyperspace,128,6,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,18999,6.0,128.0,5000.0,108.0,16.0,17.07
106,POCO C50,Country Green,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6299,3.0,32.0,5000.0,8.0,5.0,16.56
107,realme Narzo 30 Pro 5G,Blade Silver,128,8,5000,48MP,16MP,0,16.51,MediaTek Dimensity 800U,15999,8.0,128.0,5000.0,48.0,16.0,16.51
108,micromax 2,Blade Silver,128,8,1900,2MP,0MP,0,7.11,SC6531E,1849,8.0,128.0,1900.0,2.0,0.0,7.11
109,Infinix Note 12 Pro 5G,Force Black,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 810 5G,15999,8.0,128.0,5000.0,108.0,16.0,17.02
110,Infinix Note 12 Pro 5G,Snowfall,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 810 5G,15999,8.0,128.0,5000.0,108.0,16.0,17.02
111,POCO X5 5G,Supernova Green,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,15999,6.0,128.0,5000.0,48.0,13.0,16.94
112,SAMSUNG Galaxy F14 5G,GOAT Green,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",13490,4.0,128.0,6000.0,50.0,13.0,16.76
113,SAMSUNG Galaxy F23 5G,Aqua Blue,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,16999,6.0,128.0,5000.0,50.0,8.0,16.76
114,REDMI 10,Pacific Blue,128,6,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,10999,6.0,128.0,6000.0,50.0,5.0,17.02
115,SAMSUNG Galaxy F14 5G,OMG Black,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",13490,4.0,128.0,6000.0,50.0,13.0,16.76
116,micromax,OMG Black,128,4,1000,0MP,0MP,0,4.5,SC6531E,1422,4.0,128.0,1000.0,0.0,0.0,4.5
117,MOTOROLA Edge 40,Eclipse Black,256,8,4400,50MP,32MP,0,16.64,Dimensity 8020,29999,8.0,256.0,4400.0,50.0,32.0,16.64
118,micromax 1,Eclipse Black,256,8,800,0MP,0MP,0,4.5,SC6531E,1299,8.0,256.0,800.0,0.0,0.0,4.5
119,POCO M4 5G,Yellow,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,11999,4.0,64.0,5000.0,50.0,8.0,16.71
120,POCO M4 5G,Yellow,128,6,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,13999,6.0,128.0,5000.0,50.0,8.0,16.71
121,REDMI 10,Midnight Black,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,9499,4.0,64.0,6000.0,50.0,5.0,17.02
122,Infinix Smart 7 HD,Ink Black,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,6199,2.0,64.0,5000.0,8.0,5.0,16.76
123,Infinix Smart 7 HD,Silk Blue,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,6199,2.0,64.0,5000.0,8.0,5.0,16.76
124,Infinix Smart 7 HD,Jade White,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,6199,2.0,64.0,5000.0,8.0,5.0,16.76
125,realme Narzo 30,Racing Silver,128,6,5000,48MP,16MP,0,16.51,MediaTek Helio G95,12499,6.0,128.0,5000.0,48.0,16.0,16.51
126,Infinix NOTE 12i,Alpine White,64,4,5000,50MP,8MP,0,17.02,Mediatek Helio G85,9999,4.0,64.0,5000.0,50.0,8.0,17.02
127,POCO X5 5G,Jaguar Black,256,8,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,17999,8.0,256.0,5000.0,48.0,13.0,16.94
128,realme 10,Rush Black,64,4,5000,50MP,16MP,0,16.26,Mediatek Helio G99 Octa Core,12499,4.0,64.0,5000.0,50.0,16.0,16.26
129,realme 8i,Space Black,64,4,5000,50MP,16MP,0,16.76,MediaTek Helio G96,11499,4.0,64.0,5000.0,50.0,16.0,16.76
130,SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",14490,6.0,128.0,6000.0,50.0,13.0,16.76
131,REDMI A1+,Light Green,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6299,2.0,32.0,5000.0,8.0,5.0,16.56
132,SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ",14490,6.0,128.0,6000.0,50.0,13.0,16.76
133,Micromax 3,OMG Black,128,4,1020,2MP,0MP,0,6.1,MediaTek,2615,4.0,128.0,1020.0,2.0,0.0,6.1
134,realme Narzo 30,Racing Blue,128,6,5000,48MP,16MP,0,16.51,MediaTek Helio G95,12499,6.0,128.0,5000.0,48.0,16.0,16.51
135,Google Pixel 6a,Chalk,128,6,4410,12MP,8MP,0,15.6,Google Tensor,28999,6.0,128.0,4410.0,12.0,8.0,15.6
136,Google Pixel 6a,Charcoal,128,6,4410,12MP,8MP,0,15.6,Google Tensor,28999,6.0,128.0,4410.0,12.0,8.0,15.6
137,REDMI A1+,Black,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,6299,2.0,32.0,5000.0,8.0,5.0,16.56
138,Infinix HOT 20 5G,Blaster Green,64,4,5000,50MP,8MP,1,16.76,Dimensity 810,11499,4.0,64.0,5000.0,50.0,8.0,16.76
